month,day_type,hour,shape
4,0,20,1.4010541779917816
4,0,21,1.3744969685095536
4,0,22,1.217614451528227
4,0,23,1.1487772978435
4,1,0,1.247656351215071
4,1,1,1.194505881387533
4,1,2,1.1038821158800294
4,1,3,1.04659639641535
4,1,4,1.0859532840082542
4,1,5,1.1306162265919597
4,1,6,1.0519879369919205
4,1,7,0.6950391366850386
4,1,8,0.8487583483828689
4,1,9,0.7828416021462702
4,1,10,0.6080850723532173
4,1,11,0.5373740055356496
4,1,12,0.36913894069938313
4,1,13,0.48825431217764625
4,1,14,0.522487313988688
4,1,15,0.49913786406116556
4,1,16,0.6765159215853186
4,1,17,1.0347149815353591
4,1,18,1.2761825371100652
4,1,19,1.3872632712299788
4,1,20,1.419168982185109
4,1,21,1.3826501162211995
4,1,22,1.2478689256843352
4,1,23,1.1554158230337745
4,2,0,1.1720569327298254
4,2,1,1.101469949810859
4,2,2,0.991391546717745
4,2,3,0.9633032254055328
4,2,4,0.9989543219722016
4,2,5,1.0177295629084393
4,2,6,1.0129810903303507
4,2,7,0.5625881746997045
4,2,8,0.3334138460300223
4,2,9,0.23644184048750194
4,2,10,0.12004967061924594
4,2,11,0.07083833720357513
4,2,12,0.026837415067556335
4,2,13,0.0493444337088083
4,2,14,0.11030398612005185
4,2,15,0.12470525207339742
4,2,16,0.3193064847663475
4,2,17,0.7823531532730297
4,2,18,1.160038582069354
4,2,19,1.349685591750668
4,2,20,1.381882466123619
4,2,21,1.3491839318036605
4,2,22,1.0973273367495815
4,2,23,1.0164928448454407
5,0,0,1.3391098142684519
5,0,1,1.2661021668670194
5,0,2,1.165181525804954
5,0,3,1.1302123099686354
5,0,4,1.1810288590056492
5,0,5,1.1649635369492872
5,0,6,1.0559641343226285
5,0,7,0.8488830353005423
5,0,8,1.3304660878097538
5,0,9,1.2459439695108387
5,0,10,0.9751508311783209
5,0,11,0.9854064481643257
5,0,12,0.5952254259487942
5,0,13,0.7377651207413312
5,0,14,1.0156938494398153
5,0,15,0.9899491466874936
5,0,16,1.1701062907778805
5,0,17,1.3392632136306097
5,0,18,1.380373537557811
5,0,19,1.4942569623675566
5,0,20,1.5253409381730632
5,0,21,1.5103689593474885
5,0,22,1.3662788297685795
5,0,23,1.2777389988589611
5,1,0,1.3689496549016813
5,1,1,1.307383113490245
5,1,2,1.1919070092173303
5,1,3,1.128246381617799
5,1,4,1.1744261864930463
5,1,5,1.1879888668564873
5,1,6,1.0331537194882778
5,1,7,0.5880623076503616
5,1,8,0.9043948449047567
5,1,9,0.8183843452188376
5,1,10,0.6354669819274891
5,1,11,0.563560306024268
5,1,12,0.36742683657881564
5,1,13,0.5535859379334577
5,1,14,0.6225405015341332
5,1,15,0.536164590024508
5,1,16,0.7470855846380289
5,1,17,1.0350968500500577
5,1,18,1.3081771490467762
5,1,19,1.4838177033357676
5,1,20,1.5220857603972788
5,1,21,1.5104016937626317
5,1,22,1.3859594502986852
5,1,23,1.2733494612976246
5,2,0,1.254524340057744
5,2,1,1.166991875450923
5,2,2,1.051989323553366
5,2,3,1.022412342772497
5,2,4,1.0603222144798734
5,2,5,1.0382211951061615
5,2,6,0.9651106980414816
5,2,7,0.398090098561473
5,2,8,0.23198825691887848
5,2,9,0.16967717370480265
5,2,10,0.10626089648630356
5,2,11,0.09711199789431055
5,2,12,0.05960072097023961
5,2,13,0.09454527428955961
5,2,14,0.14394487099937578
5,2,15,0.16580395357821687
5,2,16,0.28156198100607016
5,2,17,0.7241897252770284
5,2,18,1.1615493258923737
5,2,19,1.428587434726622
5,2,20,1.478174591210584
5,2,21,1.479028127194422
5,2,22,1.2464994036884949
5,2,23,1.133555557598289
6,0,0,1.1939376461426197
6,0,1,1.1510083654352192
6,0,2,1.0874508344695644
6,0,3,1.0789661427471564
6,0,4,1.0996430189590471
6,0,5,1.0412669828385623
6,0,6,0.9013667102569328
6,0,7,0.6993755311236097
6,0,8,1.1353358811537086
6,0,9,1.1149148860823141
6,0,10,0.9424328330135741
6,0,11,0.9492301485082361
6,0,12,0.6709420039256034
6,0,13,0.8139868759319309
6,0,14,1.0041128326966011
6,0,15,0.9801956207162494
6,0,16,1.0798260329782863
6,0,17,1.1581758834472615
6,0,18,1.1730176148330949
6,0,19,1.2785127550682738
6,0,20,1.2994034875617324
6,0,21,1.302985907572067
6,0,22,1.221843569209512
6,0,23,1.1462030483153471
6,1,0,1.208668088693824
6,1,1,1.164377321520968
6,1,2,1.074128755224137
6,1,3,1.0357719112340593
6,1,4,1.053019529030033
6,1,5,1.0273959107687327
6,1,6,0.8750524834629042
6,1,7,0.5449182230910914
6,1,8,0.896055707188187
6,1,9,0.81601385809391
6,1,10,0.6742601792327406
6,1,11,0.6292891020694183
6,1,12,0.47546579242545967
