valuation_date,delivery_month,horizon_months,n_delivery_hours,contract_name,quoted,near_term_anchored,forward_TRY_MWh,realized_TRY_MWh,realized_coverage,realized_n_hours,spot_at_valuation_TRY_MWh,ggf_quotation_date,ggf_staleness_days,bias_TRY_MWh,abs_error_TRY_MWh,sMAPE_pct,relative_bias_pct,realized_status
2024-06-30,2024-08,2,744,EBM0824,True,False,2927.8500000000045,2574.1480241935487,1.0,744,2424.99,2024-06-28,2,-353.7019758064557,353.7019758064557,12.857219295650294,-12.080604395937469,ok
2024-06-30,2024-09,3,720,EBM0924,True,False,2610.2600000000016,2395.7768055555557,1.0,720,2424.99,2024-06-28,2,-214.48319444444587,214.48319444444587,8.568981922243102,-8.216928368991814,ok
2024-06-30,2024-10,4,744,EBM1024,True,False,2489.069999999999,2335.7127150537635,1.0,744,2424.99,2024-06-28,2,-153.35728494623527,153.35728494623527,6.357064929276361,-6.161228287924218,ok
2024-06-30,2024-11,5,720,EBM1124,True,False,2744.0200000000013,2463.135875,1.0,720,2424.99,2024-06-28,2,-280.8841250000014,280.8841250000014,10.788389352757807,-10.236227323416056,ok
2024-06-30,2024-12,6,744,EBM1224,True,False,2754.7700000000004,2446.216182795699,1.0,744,2424.99,2024-06-28,2,-308.5538172043016,308.5538172043016,11.86520426548966,-11.200710665656354,ok
2024-06-30,2025-01,7,744,EBM0125,True,False,2331.480000000001,2508.796370967742,1.0,744,2424.99,2024-06-28,2,177.31637096774102,177.31637096774102,7.326704401893035,7.6053138336053046,ok
2024-12-31,2025-01,1,744,,False,True,2158.935962480037,2508.796370967742,1.0,744,1984.0,2024-12-31,0,349.8604084877052,349.8604084877052,14.99059429696492,16.205223988478547,ok
2024-12-31,2025-02,2,672,EBM0225,True,False,2333.8800000000006,2478.279702380952,1.0,672,1984.0,2024-12-31,0,144.39970238095157,144.39970238095157,6.001450962215809,6.1871091221892955,ok
2024-12-31,2025-03,3,744,EBM0325,True,False,2534.7999999999947,2183.8270967741933,1.0,744,1984.0,2024-12-31,0,-350.9729032258015,350.9729032258015,14.87606017715358,-13.846177340452984,ok
2024-12-31,2025-04,4,720,EBM0425,True,False,1963.2800000000009,2452.6653333333334,1.0,720,1984.0,2024-12-31,0,489.3853333333325,489.3853333333325,22.16446520020322,24.92692500984741,ok
2024-12-31,2025-05,5,744,EBM0525,True,False,2278.55,2458.150564516129,1.0,744,1984.0,2024-12-31,0,179.600564516129,179.600564516129,7.583361543330988,7.882230564004696,ok
2024-12-31,2025-06,6,720,EBM0625,True,False,2331.8799999999983,2202.225513888889,1.0,720,1984.0,2024-12-31,0,-129.65448611110924,129.65448611110924,5.719076704939979,-5.560083971349698,ok
2024-12-31,2025-07,7,744,EBM0725,True,False,2588.830000000001,2965.1591532258067,1.0,744,1984.0,2024-12-31,0,376.32915322580584,376.32915322580584,13.55167044239654,14.536649885307485,ok
