hours,forward_TRY_MWh,residual_mean_TRY_MWh,residual_std_TRY_MWh,p_stress,expected_spot_TRY_MWh
333.0,2910.2752080526357,0.0,3743.594351842957,0.5692612602518753,2910.2752080526357
334.0,2910.2526711399914,0.0,3747.7315088318746,0.5760996896514741,2910.2526711399914
335.0,2910.2301342273454,0.0,3751.9606523931534,0.5891064387871693,2910.2301342273454
336.0,2910.2075973146957,0.0,3756.323787709409,0.6050046606395038,2910.2075973146957
337.0,2910.185060402043,0.0,3760.8455930843274,0.6240102820952247,2910.185060402043
338.0,2910.162523489387,0.0,3765.576303055502,0.6512106027385615,2910.162523489387
339.0,2910.1399865767253,0.0,3770.59992869781,0.6852958583686255,2910.1399865767253
340.0,2910.117449664056,0.0,3775.9413029415664,0.7179553008169485,2910.117449664056
341.0,2910.0949127513777,0.0,3781.553884869202,0.7434233811998044,2910.0949127513777
342.0,2910.07237583869,0.0,3787.3561143055454,0.7600210800836132,2910.07237583869
343.0,2910.0498389259924,0.0,3793.263034635541,0.768135332868846,2910.0498389259924
344.0,2910.0273020132836,0.0,3799.195031557823,0.7681391353676371,2910.0273020132836
345.0,2910.0047651005625,0.0,3805.0703554332104,0.7587954784312867,2910.0047651005625
346.0,2909.982228187829,0.0,3810.784788854663,0.7365077753312352,2909.982228187829
347.0,2909.9596912750826,0.0,3816.212753098181,0.7027098189607565,2909.9596912750826
348.0,2909.937154362323,0.0,3821.28650925603,0.6666652505260968,2909.937154362323
349.0,2909.914617449551,0.0,3826.0260862641826,0.6351048317835847,2909.914617449551
350.0,2909.8920805367675,0.0,3830.4970963800515,0.6136697278251043,2909.8920805367675
351.0,2909.8695436239736,0.0,3834.8091022783983,0.601989704486652,2909.8695436239736
352.0,2909.8470067111693,0.0,3839.020000376292,0.5932830306695259,2909.8470067111693
353.0,2909.8244697983537,0.0,3843.1501747617194,0.5872604854783117,2909.8244697983537
354.0,2909.8019328855275,0.0,3847.229997527132,0.5836158470956617,2909.8019328855275
355.0,2909.7793959726932,0.0,3851.263661142531,0.578451884635759,2909.7793959726932
356.0,2909.7568590598535,0.0,3855.2302033428173,0.5714402930440275,2909.7568590598535
357.0,2909.734322147009,0.0,3859.1382201681945,0.5692612602518753,2909.734322147009
358.0,2909.7117852341617,0.0,3863.062083485499,0.5760996896514741,2909.7117852341617
359.0,2909.6892483213123,0.0,3867.0756729433574,0.5891064387871693,2909.6892483213123
360.0,2909.6667114084635,0.0,3871.219754242373,0.6050046606395038,2909.6667114084635
361.0,2909.644174495617,0.0,3875.518300386066,0.6240102820952247,2909.644174495617
362.0,2909.6216375827744,0.0,3880.0200873500044,0.6512106027385615,2909.6216375827744
363.0,2909.5991006699373,0.0,3884.8066826352365,0.6852958583686255,2909.5991006699373
364.0,2909.5765637571058,0.0,3889.9022657748465,0.7179553008169485,2909.5765637571058
365.0,2909.55402684428,0.0,3895.26176505898,0.7434233811998044,2909.55402684428
366.0,2909.5314899314594,0.0,3900.806103852982,0.7600210800836132,2909.5314899314594
367.0,2909.508953018644,0.0,3906.452875158294,0.768135332868846,2909.508953018644
368.0,2909.4864161058335,0.0,3912.12482173014,0.7681391353676371,2909.4864161058335
369.0,2909.4638791930283,0.0,3917.742578666544,0.7587954784312867,2909.4638791930283
370.0,2909.4413422802295,0.0,3923.2049303407507,0.7365077753312352,2909.4413422802295
371.0,2909.418805367436,0.0,3928.38987515702,0.7027098189607565,2909.418805367436
372.0,2909.3962684546486,0.0,3933.2315377995183,0.6666652505260968,2909.3962684546486
373.0,2909.3737315418666,0.0,3937.749269288266,0.6351048317835847,2909.3737315418666
374.0,2909.3511946290905,0.0,3942.0067111026856,0.6136697278251043,2909.3511946290905
375.0,2909.328657716321,0.0,3946.1102262671343,0.601989704486652,2909.328657716321
376.0,2909.3061208035574,0.0,3950.116021271897,0.5932830306695259,2909.3061208035574
377.0,2909.283583890801,0.0,3954.0438752602236,0.5872604854783117,2909.283583890801
378.0,2909.2610469780498,0.0,3957.923279393165,0.5836158470956617,2909.2610469780498
379.0,2909.2385100653037,0.0,3961.758294489487,0.578451884635759,2909.2385100653037
380.0,2909.215973152561,0.0,3965.5285367660144,0.5714402930440275,2909.215973152561
381.0,2909.193436239822,0.0,3969.2423441094884,0.5692612602518753,2909.193436239822
382.0,2909.170899327084,0.0,3972.9719898324665,0.5760996896514741,2909.170899327084
383.0,2909.1483624143484,0.0,3976.789291137841,0.5891064387871693,2909.1483624143484
384.0,2909.1258255016155,0.0,3980.733896687436,0.6050046606395038,2909.1258255016155
385.0,2909.103288588881,0.0,3984.8291421356307,0.6240102820952247,2909.103288588881
386.0,2909.0807516761406,0.0,3989.122487110467,0.6512106027385615,2909.0807516761406
387.0,2909.058214763394,0.0,3993.693294039611,0.6852958583686255,2909.058214763394
388.0,2909.0356778506407,0.0,3998.565147575186,0.7179553008169485,2909.0356778506407
389.0,2909.01314093788,0.0,4003.694293128919,0.7434233811998044,2909.01314093788
390.0,2908.990604025114,0.0,4009.0038870132366,0.7600210800836132,2908.990604025114
391.0,2908.9680671123424,0.0,4014.4138174331792,0.768135332868846,2908.9680671123424
392.0,2908.9455301995636,0.0,4019.8489514982557,0.7681391353676371,2908.9455301995636
393.0,2908.922993286776,0.0,4025.2320763092816,0.7587954784312867,2908.922993286776
394.0,2908.9004563739804,0.0,4030.464687869867,0.7365077753312352,2908.9004563739804
395.0,2908.8779194611757,0.0,4035.4280188878884,0.7027098189607565,2908.8779194611757
396.0,2908.8553825483614,0.0,4040.057884247886,0.6666652505260968,2908.8553825483614
397.0,2908.832845635537,0.0,4044.3730306305088,0.6351048317835847,2908.832845635537
398.0,2908.810308722702,0.0,4048.435325870597,0.6136697278251043,2908.810308722702
399.0,2908.787771809856,0.0,4052.3482465940756,0.601989704486652,2908.787771809856
400.0,2908.7652348970005,0.0,4056.166474815543,0.5932830306695259,2908.7652348970005
401.0,2908.742697984138,0.0,4059.9092447961802,0.5872604854783117,2908.742697984138
402.0,2908.720161071271,0.0,4063.605252661751,0.5836158470956617,2908.720161071271
403.0,2908.697624158402,0.0,4067.2584412891706,0.578451884635759,2908.697624158402
404.0,2908.6750872455327,0.0,4070.8489513970817,0.5714402930440275,2908.6750872455327
405.0,2908.652550332663,0.0,4074.384888624509,0.5692612602518753,2908.652550332663
406.0,2908.630013419794,0.0,4077.936627806673,0.5760996896514741,2908.630013419794
407.0,2908.6074765069266,0.0,4081.5741187044437,0.5891064387871693,2908.6074765069266
408.0,2908.584939594063,0.0,4085.3359970849515,0.6050046606395038,2908.584939594063
409.0,2908.5624026812075,0.0,4089.2450192958495,0.6240102820952247,2908.5624026812075
410.0,2908.5398657683622,0.0,4093.3474498568858,0.6512106027385615,2908.5398657683622
411.0,2908.517328855529,0.0,4097.720649421572,0.6852958583686255,2908.517328855529
412.0,2908.4947919427077,0.0,4102.387658403989,0.7179553008169485,2908.4947919427077
413.0,2908.472255029899,0.0,4107.305910944452,0.7434233811998044,2908.472255029899
414.0,2908.4497181171023,0.0,4112.400583849323,0.7600210800836132,2908.4497181171023
415.0,2908.4271812043194,0.0,4117.593644421056,0.768135332868846,2908.4271812043194
416.0,2908.4046442915496,0.0,4122.811886091025,0.7681391353676371,2908.4046442915496
417.0,2908.382107378794,0.0,4127.980049510614,0.7587954784312867,2908.382107378794
