valuation_date,contract_name,price_TRY_MWh,delivery_year,delivery_month,delivery_month_label,quote_type,source
2022-02-25,EBM0422,1131.84,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-25,EBM0522,1116.99,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-25,EBM0622,1173.56,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-25,EBM0722,1284.85,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-25,EBM0822,1328.36,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-25,EBM0922,1357.19,2022,9,2022-09,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-28,EBM0422,1226.0,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-28,EBM0522,1225.0,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-28,EBM0622,1290.27,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-28,EBM0722,1427.96,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-28,EBM0822,1453.77,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-02-28,EBM0922,1488.59,2022,9,2022-09,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-03-01,EBM0422,1260.91,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-03-01,EBM0522,1249.8,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-03-01,EBM0622,1297.41,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-03-01,EBM0722,1434.21,2022,7,2022-07,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-03-01,EBM0822,1456.39,2022,8,2022-08,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-03-01,EBM0922,1522.33,2022,9,2022-09,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-03-02,EBM0422,1317.47,2022,4,2022-04,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-03-02,EBM0522,1330.68,2022,5,2022-05,monthly_baseload,EPIAS_VEP_daily_reference_price
2022-03-02,EBM0622,1309.75,2022,6,2022-06,monthly_baseload,EPIAS_VEP_daily_reference_price
